language,baseline_accuracy,mitigation1_accuracy,improved_accuracy,delta_mitigation1_vs_baseline,delta_improved_vs_baseline,delta_improved_vs_mitigation1
sindhi,0.033333,0.053333,0.5,0.02,0.466667,0.446667
maithili,0.0,0.026667,0.446667,0.026667,0.446667,0.42
santali,0.22,0.26,0.526667,0.04,0.306667,0.266667
konkani,0.0,0.0,0.22,0.0,0.22,0.22
odia,0.306667,0.12,0.38,-0.186667,0.073333,0.26
bengali,0.286667,0.413333,0.353333,0.126667,0.066667,-0.06
dogri,0.193333,0.153333,0.26,-0.04,0.066667,0.106667
sanskrit,0.766667,0.793333,0.82,0.026667,0.053333,0.026667
hindi,0.033333,0.08,0.08,0.046667,0.046667,0.0
gujarati,0.773333,0.793333,0.806667,0.02,0.033333,0.013333
assamese,0.88,0.853333,0.906667,-0.026667,0.026667,0.053333
marathi,0.646667,0.76,0.653333,0.113333,0.006667,-0.106667
telugu,0.846667,0.84,0.853333,-0.006667,0.006667,0.013333
manipuri,0.813333,0.846667,0.78,0.033333,-0.033333,-0.066667
tamil,0.8,0.86,0.76,0.06,-0.04,-0.1
bodo,0.526667,0.593333,0.466667,0.066667,-0.06,-0.126667
malayalam,0.786667,0.866667,0.706667,0.08,-0.08,-0.16
kashmiri,0.766667,0.746667,0.68,-0.02,-0.086667,-0.066667
kannada,0.646667,0.613333,0.54,-0.033333,-0.106667,-0.073333
urdu,0.693333,0.693333,0.58,0.0,-0.113333,-0.113333
punjabi,0.88,0.853333,0.666667,-0.026667,-0.213333,-0.186667
nepali,0.693333,0.633333,0.28,-0.06,-0.413333,-0.353333
