language,baseline_accuracy,mitigation1_accuracy,delta_accuracy,baseline_n_samples,mitigation1_n_samples
bengali,0.286667,0.413333,0.126667,150,150
marathi,0.646667,0.76,0.113333,150,150
malayalam,0.786667,0.866667,0.08,150,150
bodo,0.526667,0.593333,0.066667,150,150
tamil,0.8,0.86,0.06,150,150
hindi,0.033333,0.08,0.046667,150,150
santali,0.22,0.26,0.04,150,150
manipuri,0.813333,0.846667,0.033333,150,150
maithili,0.0,0.026667,0.026667,150,150
sanskrit,0.766667,0.793333,0.026667,150,150
gujarati,0.773333,0.793333,0.02,150,150
sindhi,0.033333,0.053333,0.02,150,150
konkani,0.0,0.0,0.0,150,150
urdu,0.693333,0.693333,0.0,150,150
telugu,0.846667,0.84,-0.006667,150,150
kashmiri,0.766667,0.746667,-0.02,150,150
assamese,0.88,0.853333,-0.026667,150,150
punjabi,0.88,0.853333,-0.026667,150,150
kannada,0.646667,0.613333,-0.033333,150,150
dogri,0.193333,0.153333,-0.04,150,150
nepali,0.693333,0.633333,-0.06,150,150
odia,0.306667,0.12,-0.186667,150,150
