language,baseline_untuned_accuracy,tuned_ref_accuracy,mitigation1_accuracy,improved_dann_accuracy,delta_baseline_untuned_to_dann,delta_tuned_ref_to_m1,delta_m1_to_dann,delta_tuned_ref_to_dann
assamese,0.8266666666666667,0.88,0.8533333333333334,0.9066666666666666,0.07999999999999996,-0.026666666666666616,0.05333333333333323,0.026666666666666616
bengali,0.24,0.2866666666666667,0.41333333333333333,0.35333333333333333,0.11333333333333334,0.12666666666666665,-0.06,0.06666666666666665
bodo,0.44666666666666666,0.5266666666666666,0.5933333333333334,0.4666666666666667,0.020000000000000018,0.06666666666666676,-0.1266666666666667,-0.05999999999999994
dogri,0.14,0.19333333333333333,0.15333333333333332,0.26,0.12,-0.04000000000000001,0.10666666666666669,0.06666666666666668
gujarati,0.7,0.7733333333333333,0.7933333333333333,0.8066666666666666,0.10666666666666669,0.020000000000000018,0.013333333333333308,0.033333333333333326
hindi,0.02,0.03333333333333333,0.08,0.08,0.06,0.04666666666666667,0.0,0.04666666666666667
kannada,0.6666666666666666,0.6466666666666666,0.6133333333333333,0.54,-0.1266666666666666,-0.033333333333333326,-0.07333333333333325,-0.10666666666666658
kashmiri,0.68,0.7666666666666667,0.7466666666666667,0.68,0.0,-0.020000000000000018,-0.06666666666666665,-0.08666666666666667
konkani,0.0,0.0,0.0,0.22,0.22,0.0,0.22,0.22
maithili,0.0,0.0,0.02666666666666667,0.44666666666666666,0.44666666666666666,0.02666666666666667,0.42,0.44666666666666666
malayalam,0.78,0.7866666666666666,0.8666666666666667,0.7066666666666667,-0.07333333333333336,0.08000000000000007,-0.16000000000000003,-0.07999999999999996
manipuri,0.7133333333333334,0.8133333333333334,0.8466666666666667,0.78,0.06666666666666665,0.033333333333333326,-0.06666666666666665,-0.033333333333333326
marathi,0.7266666666666667,0.6466666666666666,0.76,0.6533333333333333,-0.07333333333333336,0.1133333333333334,-0.10666666666666669,0.00666666666666671
nepali,0.34,0.6933333333333334,0.6333333333333333,0.28,-0.06,-0.06000000000000005,-0.3533333333333333,-0.41333333333333333
odia,0.29333333333333333,0.30666666666666664,0.12,0.38,0.08666666666666667,-0.18666666666666665,0.26,0.07333333333333336
punjabi,0.7466666666666667,0.88,0.8533333333333334,0.6666666666666666,-0.08000000000000007,-0.026666666666666616,-0.18666666666666676,-0.21333333333333337
sanskrit,0.7,0.7666666666666667,0.7933333333333333,0.82,0.12,0.026666666666666616,0.026666666666666616,0.05333333333333323
santali,0.06,0.22,0.26,0.5266666666666666,0.4666666666666666,0.04000000000000001,0.2666666666666666,0.30666666666666664
sindhi,0.03333333333333333,0.03333333333333333,0.05333333333333334,0.5,0.4666666666666667,0.020000000000000004,0.44666666666666666,0.4666666666666667
tamil,0.7466666666666667,0.8,0.86,0.76,0.013333333333333308,0.05999999999999994,-0.09999999999999998,-0.040000000000000036
telugu,0.7666666666666667,0.8466666666666667,0.84,0.8533333333333334,0.08666666666666667,-0.00666666666666671,0.01333333333333342,0.00666666666666671
urdu,0.66,0.6933333333333334,0.6933333333333334,0.58,-0.08000000000000007,0.0,-0.1133333333333334,-0.1133333333333334
